기준연월,SGG_ID,행정구역별,전월대비방문인구증감률,코드분류,인구감소소멸지역코드,티맵_자연관광지_검색건수,티맵_역사관광지_검색건수,티맵_휴양관광지_검색건수,티맵_공연_행사_검색건수,티맵_문화시설_검색건수,티맵_레포츠(육상해상항공)_검색건수,티맵_쇼핑_검색건수,티맵_식음료_검색건수,티맵_숙박_검색건수,티맵_기타관광지_검색건수,비씨카드_내국인_소비금액,비씨카드_외국인_소비금액,비씨카드_거주민_소비금액,외국인관광객수_무박,외국인관광객수_1박,외국인관광객수_2박,외국인관광객수_3박이상,외지인관광객수_무박,외지인관광객수_1박,외지인관광객수_2박,외지인관광객수_3박이상,남녀성비,전입인구,전출인구,순이동인구,고령인구비율,혼인건수,이혼건수,주민등록인구,지가변동률
201812,50110,제주특별자치도 제주시,-0.2345,1,0,66613,2957,6206,4033,9917,17598,33575,214496,74923,58421,43759847305,15459401848,81445363393,241570,12532.32,22238.29,38112.45,2469082,396329.5,349881,445763.5,100.8,"6,421","6,269",152,13.1,99,255,485946,0.232
201812,50130,제주특별자치도 서귀포시,-0.31279,1,0,56069,11050,23593,2342,32573,10685,20938,121855,92695,46906,18882740147,3217498121,21200165542,117809.5,4617.364,5262.478,10630.28,2024631,330368.5,298718,278572,102.5,"2,100","2,205",-105,17.9,43,97,181245,0.241
201901,11110,서울특별시 종로구,1.857856,0,0,6755,18928,2093,17945,27489,486,32031,74639,25932,14251,148877699983,5250595892,8556755075,175617.4,4532.752,5537.42,14764.71,10851624,225092,62412,152610.5,95.6,"1,839","2,068",-229,17.4,21,61,152866,0.289
201901,11140,서울특별시 중구,4.313952,0,0,5919,3448,,20020,5944,280,80898,69779,96131,10027,1001005670063,115319713994,12862706751,448435.9,25648.2,36209.23,68377.65,10218824,212964.5,65611,137424,97.1,"1,659","1,534",125,17.4,32,62,125872,0.322
201901,11170,서울특별시 용산구,9.486707,0,0,2744,486,280,31481,26669,582,9395,82565,27849,13460,142152474889,4454749529,12858123591,87868,3980.566,3637.906,10832.34,7351806,215449.5,53690,140997.5,93.4,"3,160","3,006",154,16.3,39,110,229167,0.38
201901,11200,서울특별시 성동구,0.235477,0,0,6601,262,54,4615,4029,444,10310,42825,1998,2832,31062499918,65366190,14165312220,13295.82,860.3764,656.9541,2509.431,3607156,167755,58121,172091.5,96.4,"3,653","4,229",-576,13.9,56,140,307723,0.494
201901,11215,서울특별시 광진구,4.95121,0,0,3450,1461,9242,10440,1835,3316,11270,47051,21802,2258,30994380673,5342012470,22521424547,19494.91,1189.377,1277.089,3134.833,5037456,227706.5,64701,205215.5,94.5,"4,652","4,855",-203,12.8,43,161,355382,0.451
201901,11230,서울특별시 동대문구,1.609857,0,0,1512,616,333,1488,1062,965,15858,33229,9456,1841,30946383525,91011050,19275280109,21309.21,2533.288,2868.006,7608.671,4011900,188128.5,65884,190795.5,99.4,"4,464","5,089",-625,16.4,64,155,347415,0.435
201901,11260,서울특별시 중랑구,1.872601,0,0,2160,354,107,3418,224,677,6051,23433,1781,1037,18569199372,74800,21871036460,3137.409,302.6275,280.4006,760.8431,2511418,139706,49560,155281,98.8,"4,083","4,310",-227,15.4,95,171,402974,0.317
201901,11290,서울특별시 성북구,4.882856,0,0,2550,6643,42,1362,1547,2545,3985,38306,2781,2543,20807813717,32003018,20732339725,11488.45,1065.1,891.1069,3437.591,3372691,188142.5,72177,217500.5,94.6,"4,564","5,155",-591,15.6,61,147,435270,0.326
201901,11305,서울특별시 강북구,2.362561,0,0,4508,6239,504,3775,169,508,5675,20529,3167,1098,15721630306,3485510,15852671827,4489.446,716.964,779.5179,1506.106,2264329,142544.5,46466,134981,95.7,"3,072","3,412",-340,18.3,68,117,318761,0.423
201901,11320,서울특별시 도봉구,0.221153,0,0,1883,884,466,969,1156,2163,5755,19931,1042,1463,13471301182,14800,15813546415,2308.553,241.5591,182.2542,630.6574,2057787,99995,37772,116245.5,95.9,"2,789","3,344",-555,16.6,68,133,338834,0.301
201901,11350,서울특별시 노원구,3.550154,0,0,3075,794,1359,4154,2902,7046,3672,38948,1584,2889,26497912868,11845070,31978861890,4474.18,467.3398,314.5557,1121.915,3669208,175672,66024,216146,94.2,"5,082","6,108","-1,026",14.3,93,182,542744,0.399
201901,11380,서울특별시 은평구,0.805564,0,0,774,3528,2457,1986,2099,239,15941,28862,2088,2970,18272270369,1886247480,28446541989,9112.664,573.4185,935.0201,1517.517,2485469,157031,59094,185027.5,93.6,"6,182","5,839",343,16.0,76,192,483513,0.283
201901,11410,서울특별시 서대문구,5.205161,0,0,1341,2484,,3907,7189,445,6066,33364,9719,1832,43937500873,4396455649,17269342067,124370.8,9942.128,11153.95,21772.19,6767527,251163.5,81193,237580,93.1,"4,805","4,256",549,16.2,40,116,310809,0.285
201901,11440,서울특별시 마포구,6.98471,0,0,9931,1214,6,9500,4903,2048,15542,130072,20575,2292,252225455885,3839282044,24759657797,137749.9,7375.846,8196.509,28080.82,8547350,393764,91343,225081.5,90.4,"5,346","5,197",149,13.5,41,164,375272,0.401
201901,11470,서울특별시 양천구,1.462566,0,0,5186,578,,4344,1720,5324,3545,43696,679,2848,65729362570,263599650,27304100447,5291.271,518.2254,322.3109,1205.506,2703386,127435,51100,164944.5,97,"4,491","5,133",-642,12.6,62,127,463608,0.432
